,title,view_num,url,tokenized_title,detokenized_title
80,The Best Single Leg Takedown For Brazilian Jiu Jitsu by Andre Galvao,110000.0,https://www.youtube.com/watch?v=4HBVdF5AXc0,"['best', 'single', 'leg', 'takedown', 'brazilian', 'jiu', 'jitsu', 'andre', 'galvao']",best single leg takedown brazilian jiu jitsu andre galvao
448,Best Sweep vs Bigger Opponents by 8x World Champion Bruno Malfacine,110000.0,https://www.youtube.com/watch?v=UMPZeljofwA,"['best', 'sweep', 'vs', 'bigger', 'opponents', '8x', 'world', 'champion', 'bruno', 'malfacine']",best sweep vs bigger opponents 8x world champion bruno malfacine
438,Understanding The Berimbolo By Gianni Grippo,100000.0,https://www.youtube.com/watch?v=bsbFpa9q7Ig,"['understand', 'berimbolo', 'gianni', 'grippo']",understand berimbolo gianni grippo
64,BJJ Butterfly Guard - Most Important Principles by Marcelo Garcia,100000.0,https://www.youtube.com/watch?v=0WG1MYvgXAM,"['bjj', 'butterfly', 'guard', '-', 'important', 'principles', 'marcelo', 'garcia']",bjj butterfly guard - important principles marcelo garcia
478,The Easiest Takedown For BJJ Players,97000.0,https://www.youtube.com/watch?v=s5k4Kh8ErS8,"['easiest', 'takedown', 'bjj', 'players']",easiest takedown bjj players
419,"How To Do The Heel Hook By The Best Footlock/Leglock Grappler in The World ""Dean Lister""",95000.0,https://www.youtube.com/watch?v=haBJPddcCvo,"['to', 'heel', 'hook', 'best', 'footlock/leglock', 'grappler', 'in', 'world', '``', 'dean', 'lister', ""''""]",to heel hook best footlock/leglock grappler in world `` dean lister ''
460,Bernardo Faria vs Erberth Santos  2015 IBJJF Worlds Absolute,91000.0,https://www.youtube.com/watch?v=0tzVjj3slKs,"['bernardo', 'faria', 'vs', 'erberth', 'santos', '2015', 'ibjjf', 'worlds', 'absolute']",bernardo faria vs erberth santos 2015 ibjjf worlds absolute
404,The Tightest Reverse Triangle Choke by Braulio Estima,89000.0,https://www.youtube.com/watch?v=2lCqmpZMhoI,"['tightest', 'reverse', 'triangle', 'choke', 'braulio', 'estima']",tightest reverse triangle choke braulio estima
167,One Of The Best BJJ Half Guard Sweeps (The Coyote Half Guard) by Lucas Leite,88000.0,https://www.youtube.com/watch?v=INqZhKrlNKk,"['one', 'best', 'bjj', 'half', 'guard', 'sweep', '(', 'coyote', 'half', 'guard', ')', 'lucas', 'leite']",one best bjj half guard sweep ( coyote half guard ) lucas leite
309,5 Tips To Improve Your Half Guard by Bernardo Faria & Tom Deblass,88000.0,https://www.youtube.com/watch?v=ZPrmnK1cWjI,"['5', 'tip', 'to', 'improve', 'half', 'guard', 'bernardo', 'faria', '&', 'tom', 'deblass']",5 tip to improve half guard bernardo faria & tom deblass
329,Crazy Inside Heel Hook Setup From Craig Jones,88000.0,https://www.youtube.com/watch?v=CRFYfSasVjI,"['crazy', 'inside', 'heel', 'hook', 'setup', 'from', 'craig', 'jones']",crazy inside heel hook setup from craig jones
44,What To Do When You Can’t Train Jiu Jitsu (Coronavirus) by John Danaher,87000.0,https://www.youtube.com/watch?v=s3Z8sWJmSHM,"['to', '’', 'train', 'jiu', 'jitsu', '(', 'coronavirus', ')', 'john', 'danaher']",to ’ train jiu jitsu ( coronavirus ) john danaher
83,Understanding The Open Guard In BJJ by John Danaher,87000.0,https://www.youtube.com/watch?v=Fcg4mtegux0,"['understand', 'open', 'guard', 'in', 'bjj', 'john', 'danaher']",understand open guard in bjj john danaher
425,How To Avoid Getting Smashed by The Bigger Guys by 8x World Champion Bruno Malfacine,86000.0,https://www.youtube.com/watch?v=vZXD3t-y7X4,"['to', 'avoid', 'get', 'smash', 'bigger', 'guy', '8x', 'world', 'champion', 'bruno', 'malfacine']",to avoid get smash bigger guy 8x world champion bruno malfacine
421,Grip Fighting by The Best Judo Coach In The US History - Jimmy Pedro,83000.0,https://www.youtube.com/watch?v=PEmEMbFhB1w,"['grip', 'fight', 'best', 'judo', 'coach', 'in', 'us', 'history', '-', 'jimmy', 'pedro']",grip fight best judo coach in us history - jimmy pedro
370,Half Guard Frame - How To Prevent The Guard Pass by Tom Deblass,81000.0,https://www.youtube.com/watch?v=lhkkgA4K6o8,"['half', 'guard', 'frame', '-', 'to', 'prevent', 'guard', 'pass', 'tom', 'deblass']",half guard frame - to prevent guard pass tom deblass
351,The Inescapable Toehold From De La Riva by Dean Lister,78000.0,https://www.youtube.com/watch?v=Ig5VZfHE1Qg,"['inescapable', 'toehold', 'from', 'de', 'la', 'riva', 'dean', 'lister']",inescapable toehold from de la riva dean lister
131,Understanding The Tarikoplata by Tarik Hopstock (The Creator Of The Tarikoplata),75000.0,https://www.youtube.com/watch?v=9yyauPoZmGI,"['understand', 'tarikoplata', 'tarik', 'hopstock', '(', 'creator', 'tarikoplata', ')']",understand tarikoplata tarik hopstock ( creator tarikoplata )
50,How To Perfect Your North South Choke by Marcelo Garcia,73000.0,https://www.youtube.com/watch?v=VkI7wuhN2Ps,"['to', 'perfect', 'north', 'south', 'choke', 'marcelo', 'garcia']",to perfect north south choke marcelo garcia
445,The Best Crucifix by Marcelo Garcia's Black Belt Joel Burgess,72000.0,https://www.youtube.com/watch?v=kUvLT0CoBcc,"['best', 'crucifix', 'marcelo', 'garcia', ""'s"", 'black', 'belt', 'joel', 'burgess']",best crucifix marcelo garcia 's black belt joel burgess
288,The Side Control Loop Choke By Kurt Osiander,72000.0,https://www.youtube.com/watch?v=_Hd_uqGqYjI,"['side', 'control', 'loop', 'choke', 'kurt', 'osiander']",side control loop choke kurt osiander
114,The Importance Of BJJ Fundamentals by John Danaher,72000.0,https://www.youtube.com/watch?v=-zgwLkCoWDw,"['importance', 'bjj', 'fundamentals', 'john', 'danaher']",importance bjj fundamentals john danaher
399,The Catch Wrestling Cradle Sequence by Neil Melanson,64000.0,https://www.youtube.com/watch?v=sxzJbhtf8bo,"['catch', 'wrestle', 'cradle', 'sequence', 'neil', 'melanson']",catch wrestle cradle sequence neil melanson
105,5 Tips To Pass Any Guard No Gi by Lachlan Giles,61000.0,https://www.youtube.com/watch?v=Zp9O6YpHKeE,"['5', 'tip', 'to', 'pass', 'guard', 'gi', 'lachlan', 'giles']",5 tip to pass guard gi lachlan giles
