,title,view_num,url,tokenized_title,detokenized_title
288,Jiu Jitsu Techniques - Take down,3700.0,https://www.youtube.com/watch?v=s5BszZSCZRo,"['jiu', 'jitsu', 'techniques', '-', 'take', 'down']",jiu jitsu techniques - take down
112,Jiu Jitsu Techniques - attack your opponent back when he try take down you  with single leg,1700.0,https://www.youtube.com/watch?v=W3ojiZDjKAg,"['jiu', 'jitsu', 'techniques', '-', 'attack', 'opponent', 'back', 'try', 'take', 'down', 'single', 'leg']",jiu jitsu techniques - attack opponent back try take down single leg
16,"Arm Drag | Single Leg, Double Leg, Leg Hook Take Downs with Professor Mackens Semerzier",7400.0,https://www.youtube.com/watch?v=WoY9vT3ErMM,"['arm', 'drag', '|', 'single', 'leg', ',', 'double', 'leg', ',', 'leg', 'hook', 'take', 'down', 'professor', 'mackens', 'semerzier']","arm drag | single leg , double leg , leg hook take down professor mackens semerzier"
84,TAKE DOWN: Arm Drag to Single Leg with Professor Jean “Dalua” Cartagena,6200.0,https://www.youtube.com/watch?v=SbB89Y5aUNM,"['take', 'down', ':', 'arm', 'drag', 'to', 'single', 'leg', 'professor', 'jean', '“', 'dalua', '”', 'cartagena']",take down : arm drag to single leg professor jean “ dalua ” cartagena
64,The Turtle Cheat Code - How to Shut Down Chokes and Back Takes from the Bottom,11000.0,https://www.youtube.com/watch?v=pmz1ID3VgGU,"['turtle', 'cheat', 'code', '-', 'to', 'shut', 'down', 'choke', 'back', 'take', 'from', 'bottom']",turtle cheat code - to shut down choke back take from bottom
