,title,view_num,url,tokenized_title,detokenized_title
73,Ataque o estrangulamento dando um rolamento/Roll and Choke,928.0,https://www.youtube.com/watch?v=iG8SmZXvs0Q,"['ataque', 'estrangulamento', 'dando', 'um', 'rolamento/roll', 'choke']",ataque estrangulamento dando um rolamento/roll choke
18,Paper Cut Choke from side control,586.0,https://www.youtube.com/watch?v=L0joyfEKO44,"['paper', 'cut', 'choke', 'from', 'side', 'control']",paper cut choke from side control
3,OLD SCHOOL  EZEKIAL CHOKE,551.0,https://www.youtube.com/watch?v=bRjP5Ti8Y3k,"['old', 'school', 'ezekial', 'choke']",old school ezekial choke
15,Bow and Arrow choke scape,519.0,https://www.youtube.com/watch?v=dmqEqRMeNZc,"['bow', 'arrow', 'choke', 'scape']",bow arrow choke scape
13,Darce Choke upside down,510.0,https://www.youtube.com/watch?v=p6zFe_IPKmg,"['darce', 'choke', 'upside', 'down']",darce choke upside down
20,Wrist Lock from Cross Choke,409.0,https://www.youtube.com/watch?v=gj_vNMys38I,"['wrist', 'lock', 'from', 'cross', 'choke']",wrist lock from cross choke
158,Make Them Scared With This Choke,30000.0,https://www.youtube.com/watch?v=Y3UwkY8DsSE,"['make', 'scar', 'choke']",make scar choke
232,Get More Taps With The BJJ Darce Choke Using This,23000.0,https://www.youtube.com/watch?v=528y7fDU3QI,"['get', 'tap', 'bjj', 'darce', 'choke', 'use']",get tap bjj darce choke use
79,3 ways to finish the bow and arrow choke,12000.0,https://www.youtube.com/watch?v=J_DYQmafs0A,"['3', 'ways', 'to', 'finish', 'bow', 'arrow', 'choke']",3 ways to finish bow arrow choke
205,This BJJ Choke Sucks!,9300.0,https://www.youtube.com/watch?v=ud3z8mG_jRw,"['bjj', 'choke', 'suck', '!']",bjj choke suck !
136,Escaping the BJJ triangle choke,8600.0,https://www.youtube.com/watch?v=3jO2BYfcCBg,"['escape', 'bjj', 'triangle', 'choke']",escape bjj triangle choke
129,High % BJJ Darce Choke (with Bellator Top Contender and ADCC vet John Salter),5500.0,https://www.youtube.com/watch?v=WfpKECBortA,"['high', '%', 'bjj', 'darce', 'choke', '(', 'bellator', 'top', 'contender', 'adcc', 'vet', 'john', 'salter', ')']",high % bjj darce choke ( bellator top contender adcc vet john salter )
43,One Jiu-Jitsu Tip That Will Help You Finish Chokes,5300.0,https://www.youtube.com/watch?v=1_qYP2J1LgE,"['one', 'jiu-jitsu', 'tip', 'help', 'finish', 'choke']",one jiu-jitsu tip help finish choke
